"index","species","status","error"
212,"Hypericum punctatum",0,NA
213,"Anaphalis margaritacea",0,NA
214,"Ribes cynosbati",0,NA
215,"Dicentra cucullaria",0,NA
216,"Phytolacca americana",0,NA
217,"Euthamia graminifolia",0,NA
218,"Geum laciniatum",0,NA
219,"Thladiantha dubia",1,NA
220,"Rubus pubescens",0,NA
221,"Vincetoxicum nigrum",NA,"No matching species"
222,"Lagurus ovatus",NA,"No data for Canada"
223,"Symplocarpus foetidus",0,NA
224,"Origanum vulgare",1,NA
225,"Arisaema triphyllum",0,NA
226,"Cichorium intybus",1,NA
227,"Cypripedium acaule",0,NA
228,"Trillium erectum",0,NA
229,"Quercus rubra",0,NA
230,"Iberis umbellata",1,NA
231,"Chenopodium ficifolium",1,NA
232,"Campanula persicifolia",1,NA
233,"Nigella damascena",1,NA
234,"Carduus nutans",1,NA
235,"Dianthus armeria",1,NA
236,"Juniperus horizontalis",0,NA
237,"Helianthus annuus",1,NA
238,"Zanthoxylum americanum",0,NA
239,"Helenium autumnale",0,NA
240,"Galium aparine",1,NA
241,"Achillea ptarmica",1,NA
242,"Poa annua",1,NA
243,"Populus tremuloides",0,NA
244,"Pinus banksiana",0,NA
245,"Salix purpurea",1,NA
246,"Aquilegia canadensis",0,NA
247,"Viola labradorica",0,NA
248,"Apios americana",0,NA
249,"Salix pentandra",1,NA
250,"Artemisia abrotanum",1,NA
251,"Capsella bursa-pastoris",1,NA
252,"Hesperis matronalis",1,NA
253,"Panicum capillare",0,NA
254,"Dianthus plumarius",1,NA
255,"Centaurea macrocephala",1,NA
256,"Cerastium tomentosum",1,NA
257,"Achillea distans",1,NA
258,"Lactuca serriola",1,NA
259,"Avena sativa",1,NA
260,"Crataegus crus-galli",0,NA
261,"Reynoutria sachalinensis",1,NA
262,"Symphyotrichum novi-belgii",0,NA
263,"Caltha palustris",0,NA
264,"Hibiscus trionum",1,NA
265,"Pinus strobus",0,NA
266,"Bunias orientalis",1,NA
267,"Cornus sericea",0,NA
268,"Chenopodium album",1,NA
269,"Sanguisorba canadensis",0,NA
270,"Solidago caesia",0,NA
271,"Erigeron annuus",0,NA
272,"Sisymbrium officinale",1,NA
273,"Artemisia ludoviciana",1,NA
274,"Stachys palustris",1,NA
275,"Diplotaxis tenuifolia",1,NA
276,"Helianthus divaricatus",0,NA
277,"Erigeron philadelphicus",0,NA
278,"Prunus pensylvanica",0,NA
279,"Mentha spicata",1,NA
280,"Juniperus communis",0,NA
281,"Malva sylvestris",1,NA
282,"Fragaria virginiana",0,NA
283,"Coptis trifolia",0,NA
284,"Mirabilis nyctaginea",1,NA
285,"Andromeda polifolia",0,NA
286,"Asparagus officinalis",1,NA
287,"Onopordum acanthium",1,NA
288,"Echinochloa crus-galli",1,NA
289,"Hamamelis virginiana",0,NA
290,"Allium schoenoprasum",0,NA
291,"Myrica gale",0,NA
292,"Sarracenia purpurea",0,NA
293,"Artemisia stelleriana",1,NA
294,"Primula veris",1,NA
295,"Speyeria cybele",NA,"No matching species"
296,"Papilio cresphontes",NA,"No matching species"
297,"Euptychia cymela",NA,"No matching species"
298,"Euphyes vestris",0,NA
299,"Colias eurytheme",0,NA
300,"Clossiana toddi",NA,"Results is empty"
301,"Strymon caryaevorus",NA,"No matching species"
302,"Polygonia vaualbum",NA,"Results is empty"
303,"Phyciodes tharos",0,NA
304,"Lon hobomok",0,NA
305,"Colias philodice",0,NA
306,"Polyommatus icarus",1,NA
307,"Pieris rapae",1,NA
308,"Papilio polyxenes",0,NA
309,"Pieris oleracea",0,NA
310,"Lethe anthedon",0,NA
311,"Ancyloxypha numitor",0,NA
312,"Cornus racemosa",0,NA
313,"Calendula officinalis",1,NA
314,"Limenitis archippus",0,NA
315,"Achillea millefolium",0,NA
316,"Polygonia interrogationis",0,NA
317,"Poa pratensis",0,NA
318,"Danaus plexippus",0,NA
319,"Vanessa cardui",0,NA
320,"Lycaeides idas",NA,"No matching species"
321,"Cornus rugosa",0,NA
322,"Prunus domestica",1,NA
323,"Nymphalis antiopa",0,NA
324,"Cercyonis pegala",0,NA
325,"Incisalia henrici",NA,"No matching species"
326,"Chlosyne nycteis",0,NA
327,"Limenitis arthemis",0,NA
328,"Artemisia annua",1,NA
329,"Panicum miliaceum",1,NA
330,"Celastrina lucia",0,NA
331,"Tharsalea hyllus",0,NA
332,"Cyaniris neglecta",NA,"Results is empty"
333,"Vanessa atalanta",0,NA
334,"Galinsoga quadriradiata",1,NA
335,"Prunus serotina",0,NA
336,"Scorzoneroides autumnalis",NA,"No matching species"
337,"Ranunculus sceleratus",0,NA
338,"Epargyreus clarus",0,NA
339,"Galeopsis tetrahit",1,NA
340,"Solidago rugosa",0,NA
341,"Strymon acadica",NA,"Results is empty"
342,"Speyeria aphrodite",NA,"No matching species"
343,"Harkenclenus titus",NA,"No matching species"
344,"Boloria selene",NA,"No matching species"
345,"Lethe eurydice",0,NA
346,"Satyrium calanus",0,NA
347,"Coenonympha tullia",NA,"No matching species"
348,"Euphydryas phaeton",0,NA
349,"Hesperia sassacus",0,NA
350,"Aglais milberti",0,NA
351,"Thymelicus lineola",1,NA
352,"Aglais io",1,NA
353,"Vanessa virginiensis",0,NA
354,"Polygonia comma",0,NA
355,"Polygonia progne",0,NA
356,"Feniseca tarquinius",0,NA
357,"Elkalyce comyntas",NA,"Results is empty"
358,"Rosa spinosissima",1,NA
359,"Ribes americanum",0,NA
360,"Cystopteris bulbifera",0,NA
361,"Potentilla argentea",1,NA
362,"Linum usitatissimum",1,NA
363,"Penthorum sedoides",0,NA
364,"Hydrophyllum virginianum",0,NA
365,"Satyrium liparops",0,NA
366,"Trichodezia albovittata",0,NA
367,"Homochlodes fritillaria",0,NA
368,"Pyrrharctia isabella",0,NA
369,"Junco hyemalis",0,NA
370,"Pseudacris crucifer",0,NA
371,"Auriscalpium vulgare",0,NA
372,"Buteo jamaicensis",0,NA
373,"Pomoxis nigromaculatus",0,NA
374,"Anaxyrus americanus",0,NA
375,"Glaucopsyche lygdamus",0,NA
376,"Chlosyne harrisii",0,NA
377,"Asterocampa celtis",0,NA
378,"Chlorociboria aeruginascens",0,NA
379,"Catharus guttatus",0,NA
380,"Strobilomyces strobilaceus",0,NA
381,"Larus delawarensis",0,NA
382,"Nabalus altissima",NA,"No matching species"
383,"Melospiza melodia",0,NA
384,"Branta canadensis",0,NA
385,"Actitis macularius",0,NA
386,"Certhia americana",0,NA
387,"Turdus migratorius",0,NA
388,"Zonotrichia albicollis",0,NA
389,"Seiurus aurocapilla",0,NA
390,"Setophaga coronata",0,NA
391,"Bucephala clangula",0,NA
392,"Cardinalis cardinalis",0,NA
393,"Sphyrapicus varius",0,NA
394,"Sayornis phoebe",0,NA
395,"Apis mellifera",1,NA
396,"Micropterus dolomieu",0,NA
397,"Odocoileus virginianus",0,NA
398,"Molothrus ater",0,NA
399,"Melanoplus bivittatus",0,NA
400,"Lithobates clamitans",0,NA
401,"Spizella passerina",0,NA
402,"Hirundo rustica",0,NA
403,"Setophaga petechia",0,NA
404,"Poecile atricapillus",0,NA
405,"Corvus brachyrhynchos",0,NA
406,"Tamias striatus",0,NA
407,"Geothlypis trichas",0,NA
408,"Leuconotopicus villosus",NA,"Results is empty"
409,"Charadrius vociferus",0,NA
410,"Dryocopus pileatus",0,NA
411,"Dumetella carolinensis",0,NA
412,"Peponapis pruinosa",0,NA
413,"Sturnus vulgaris",1,NA
414,"Troglodytes aedon",0,NA
415,"Tachycineta bicolor",0,NA
416,"Tamiasciurus hudsonicus",0,NA
417,"Bombycilla cedrorum",0,NA
418,"Dryobates pubescens",0,NA
419,"Spinus tristis",0,NA
420,"Setophaga ruticilla",0,NA
421,"Setophaga palmarum",0,NA
422,"Ichneumon centrator",NA,"Results is empty"
423,"Meleagris gallopavo",0,NA
424,"Argia moesta",0,NA
425,"Anas platyrhynchos",0,NA
426,"Carya ovata",0,NA
427,"Nymphaea odorata",0,NA
428,"Vinca minor",1,NA
429,"Sitta carolinensis",0,NA
430,"Vicia cracca",1,NA
431,"Medicago sativa",1,NA
432,"Lythrum salicaria",1,NA
433,"Argiope trifasciata",0,NA
434,"Carex lupulina",0,NA
435,"Neandra brunnea",0,NA
436,"Graptemys geographica",0,NA
437,"Cypripedium parviflorum",0,NA
438,"Emmelina monodactyla",0,NA
439,"Ischnoderma resinosum",0,NA
440,"Frangula alnus",1,NA
441,"Archips purpurana",0,NA
442,"Harmonia axyridis",1,NA
443,"Aix sponsa",0,NA
444,"Acanthocephala terminalis",0,NA
445,"Carex sparganioides",0,NA
446,"Pterourus canadensis",0,NA
447,"Pimephales promelas",0,NA
448,"Pachydiplax longipennis",0,NA
449,"Quiscalus quiscula",0,NA
450,"Bombus impatiens",0,NA
451,"Trametes versicolor",0,NA
452,"Equisetum hyemale",0,NA
453,"Tremex columba",0,NA
454,"Sambucus racemosa",0,NA
455,"Leucorrhinia intacta",0,NA
456,"Anemone virginiana",0,NA
457,"Lotus corniculatus",1,NA
458,"Taraxacum officinale",0,NA
459,"Mus musculus",1,NA
460,"Trifolium pratense",1,NA
461,"Bombus griseocollis",0,NA
462,"Bombus rufocinctus",0,NA
463,"Anthidium florentinum",NA,"no applicable method for 'filter' applied to an object of class ""list"""
464,"Pyrausta bicoloralis",0,NA
465,"Datana integerrima",0,NA
466,"Coccinella septempunctata",1,NA
467,"Cyanocitta cristata",0,NA
468,"Dolichovespula maculata",0,NA
469,"Falco columbarius",0,NA
470,"Ranunculus repens",1,NA
471,"Popillia japonica",1,NA
472,"Setophaga castanea",0,NA
473,"Cepaea nemoralis",1,NA
474,"Phalangium opilio",1,NA
475,"Thryothorus ludovicianus",0,NA
476,"Diervilla lonicera",0,NA
477,"Scutigera coleoptrata",1,NA
478,"Physalis grisea",1,NA
479,"Dolomedes tenebrosus",0,NA
480,"Lymantria dispar",1,NA
481,"Lathyrus sylvestris",1,NA
482,"Tetraopes tetrophthalmus",0,NA
483,"Lithobates sylvaticus",0,NA
484,"Plethodon cinereus",0,NA
485,"Typha latifolia",0,NA
486,"Parkesia noveboracensis",0,NA
487,"Phymata americana",0,NA
488,"Urophora cardui",1,NA
489,"Ischnura posita",0,NA
490,"Haemorhous mexicanus",1,NA
491,"Falco atricapillus",NA,"Results is empty"
492,"Sylvilagus floridanus",0,NA
493,"Prunus nigra",0,NA
494,"Gallinula chloropus",NA,"No matching species"
495,"Bubo virginianus",0,NA
496,"Falco sparverius",0,NA
497,"Spizelloides arborea",0,NA
498,"Populus deltoides",0,NA
499,"Lithobates pipiens",0,NA
500,"Gallinago delicata",0,NA
501,"Trifolium repens",1,NA
502,"Carabus nemoralis",1,NA
503,"Valeriana officinalis",1,NA
504,"Eutrochium maculatum",0,NA
505,"Butorides virescens",0,NA
506,"Ardea herodias",0,NA
507,"Umbra limi",0,NA
508,"Athyrium angustum",NA,"No matching species"
509,"Crataegus submollis",0,NA
510,"Rhagonycha fulva",1,NA
511,"Cathartes aura",0,NA
512,"Lobelia inflata",0,NA
513,"Araneus diadematus",1,NA
514,"Vespula maculifrons",0,NA
515,"Macrostemum zebratum",0,NA
516,"Veronica peregrina",0,NA
517,"Aphis nerii",1,NA
518,"Aythya marila",0,NA
519,"Armadillidium vulgare",1,NA
520,"Tramea lacerata",0,NA
521,"Neotibicen canicularis",0,NA
522,"Sciurus carolinensis",0,NA
523,"Alliaria petiolata",1,NA
524,"Loweomyces fractipes",0,NA
525,"Marmota monax",0,NA
526,"Daucus carota",1,NA
527,"Agelaius phoeniceus",0,NA
528,"Lebia viridis",0,NA
529,"Sedum sexangulare",1,NA
530,"Passer domesticus",1,NA
531,"Crambus praefectellus",0,NA
532,"Toxomerus geminatus",0,NA
533,"Hypericum perforatum",1,NA
534,"Ceratomia amyntor",0,NA
535,"Silene coronaria",1,NA
536,"Trachelipus rathkii",NA,"No matching species"
537,"Glechoma hederacea",1,NA
538,"Buteo lineatus",0,NA
539,"Sorex cinereus",0,NA
540,"Noctua pronuba",1,NA
541,"Lumbricus terrestris",1,NA
542,"Setophaga magnolia",0,NA
543,"Leiothlypis ruficapilla",0,NA
544,"Matteuccia struthiopteris",0,NA
545,"Anax junius",0,NA
546,"Setophaga caerulescens",0,NA
547,"Linaria vulgaris",1,NA
548,"Polites mystic",0,NA
549,"Corvus corax",0,NA
550,"Vulpes vulpes",NA,"No matching species"
551,"Acontia candefacta",NA,"Results is empty"
552,"Passerella iliaca",0,NA
553,"Eumenes fraternus",0,NA
554,"Storeria dekayi",0,NA
555,"Symphyotrichum lateriflorum",0,NA
556,"Halictus rubicundus",0,NA
557,"Acer negundo",1,NA
558,"Medicago lupulina",1,NA
559,"Coronilla varia",1,NA
560,"Eumorpha pandorus",0,NA
561,"Lophocampa caryae",0,NA
562,"Polygonia faunus",0,NA
563,"Reduvius personatus",0,NA
564,"Junonia coenia",NA,"No data for Canada"
565,"Porcellio spinicornis",NA,"no applicable method for 'filter' applied to an object of class ""list"""
566,"Verbascum thapsus",1,NA
567,"Pelidnota punctata",0,NA
568,"Silpha tristis",1,NA
569,"Phlox paniculata",1,NA
570,"Lopidea instabilis",0,NA
571,"Geranium sanguineum",1,NA
572,"Nephrotoma cornicina",NA,"No matching species"
573,"Bicyrtes quadrifasciatus",NA,"In argument: `subnationCode == ""QC""`."
574,"Erioptera caliptera",NA,"no applicable method for 'filter' applied to an object of class ""list"""
575,"Puschkinia scilloides",1,NA
576,"Charidotella sexpunctata",0,NA
577,"Herpyllus ecclesiasticus",0,NA
578,"Istocheta aldrichi",NA,"no applicable method for 'filter' applied to an object of class ""list"""
579,"Acer saccharum",0,NA
580,"Impatiens parviflora",1,NA
581,"Gymnopilus luteus",0,NA
582,"Orchesella villosa",1,NA
583,"Malacosoma disstria",0,NA
584,"Enchenopa latipes",NA,"Results is empty"
585,"Columba livia",1,NA
586,"Acronicta americana",0,NA
587,"Anethum graveolens",1,NA
588,"Carya cordiformis",0,NA
589,"Lucidota atra",0,NA
590,"Megarhyssa macrura",NA,"No matching species"
591,"Papaipema impecuniosa",0,NA
592,"Microcrambus elegans",0,NA
593,"Halysidota tessellaris",0,NA
594,"Eudonia strigalis",0,NA
595,"Ampedus areolatus",0,NA
596,"Gerdana caritella",0,NA
597,"Calomycterus setarius",1,NA
598,"Petrophila canadensis",0,NA
599,"Acleris forsskaleana",1,NA
600,"Cantharis livida",1,NA
601,"Moodna ostrinella",0,NA
602,"Trichoferus campestris",1,NA
603,"Crioceris duodecimpunctata",1,NA
604,"Viola cucullata",0,NA
605,"Chinavia hilaris",0,NA
606,"Ischnura verticalis",0,NA
607,"Libellula luctuosa",0,NA
608,"Sympetrum vicinum",0,NA
609,"Neolasioptera impatientifolia",NA,"no applicable method for 'filter' applied to an object of class ""list"""
610,"Vernia verna",NA,"No matching species"
611,"Mantis religiosa",1,NA
612,"Dolichovespula arenaria",0,NA
613,"Echium vulgare",1,NA
614,"Polistes dominula",1,NA
615,"Brochymena arborea",NA,"No matching species"
616,"Camponotus nearcticus",0,NA
617,"Jikradia olitoria",0,NA
618,"Pasiphila rectangulata",1,NA
619,"Proteoteras aesculana",0,NA
620,"Cydalima perspectalis",NA,"No data for Canada"
621,"Tipula oleracea",NA,"no applicable method for 'filter' applied to an object of class ""list"""
622,"Colaptes auratus",0,NA
623,"Volvariella bombycina",0,NA
624,"Analeptura lineola",0,NA
625,"Mordellistena fuscipennis",0,NA
626,"Neurocolpus nubilus",0,NA
627,"Aesculus glabra",2,NA
628,"Regulus calendula",NA,"No matching species"
629,"Coenonympha california",0,NA
630,"Regulus satrapa",0,NA
631,"Chrysemys picta",0,NA
632,"Dioctria hyalipennis",1,NA
633,"Brachiacantha ursina",0,NA
634,"Lygus lineolaris",0,NA
635,"Viburnum lantana",1,NA
636,"Halyomorpha halys",1,NA
637,"Pinicola enucleator",0,NA
638,"Protichneumon grandis",NA,"No data for Canada"
639,"Dreissena bugensis",1,NA
640,"Lasius americanus",0,NA
641,"Viburnum opulus",0,NA
642,"Bipalium adventitium",NA,"No data for Canada"
643,"Imatisma posticata",NA,"Results is empty"
644,"Toxomerus marginatus",0,NA
645,"Hylaeus hyalinatus",1,NA
646,"Ischnus inquisitorius",NA,"Results is empty"
647,"Attagenus fasciatus",NA,"Results is empty"
648,"Cardamine pratensis",0,NA
649,"Lepomis gibbosus",0,NA
650,"Populus balsamifera",0,NA
651,"Mniotilta varia",0,NA
652,"Bombus ternarius",0,NA
653,"Scilla siberica",1,NA
654,"Bucephala albeola",0,NA
655,"Poecilocapsus lineatus",0,NA
656,"Onthophagus hecate",0,NA
657,"Echinacea purpurea",1,NA
658,"Arianta arbustorum",1,NA
659,"Calligrapha philadelphica",0,NA
660,"Cepaea hortensis",2,NA
661,"Tsuga canadensis",0,NA
662,"Procyon lotor",0,NA
663,"Agromyza vockerothi",NA,"no applicable method for 'filter' applied to an object of class ""list"""
664,"Hieracium lachenalii",1,NA
665,"Pistosia testacea",NA,"Results is empty"
666,"Ulmus americana",0,NA
667,"Idia americalis",0,NA
668,"Aegopodium podagraria",1,NA
669,"Synchroa punctata",0,NA
670,"Acalymma vittatum",0,NA
671,"Picea glauca",0,NA
672,"Phalacrocorax auritus",NA,"No matching species"
673,"Exomala orientalis",NA,"No matching species"
674,"Larus marinus",0,NA
675,"Philanthus gibbosus",NA,"In argument: `subnationCode == ""QC""`."
676,"Colletes inaequalis",0,NA
677,"Pholiota aurivella",0,NA
678,"Impatiens pallida",0,NA
679,"Ageratina altissima",0,NA
680,"Oenothera biennis",0,NA
681,"Dactylis glomerata",1,NA
682,"Pachypsylla celtidismamma",0,NA
683,"Lepiota cristata",0,NA
684,"Cerioporus squamosus",0,NA
685,"Acalypha rhomboidea",0,NA
686,"Arctium lappa",1,NA
687,"Oxalis stricta",1,NA
688,"Impatiens capensis",0,NA
689,"Mergus serrator",0,NA
690,"Anthriscus sylvestris",1,NA
691,"Betula populifolia",0,NA
692,"Viola sororia",0,NA
693,"Musca domestica",1,NA
694,"Attulus fasciger",1,NA
695,"Saperda tridentata",0,NA
696,"Impatiens balfourii",1,NA
697,"Juniperus virginiana",0,NA
698,"Acer freemanii",NA,"No matching species"
699,"Gnamptopelta obsidianator",NA,"Results is empty"
700,"Chaetura pelagica",0,NA
701,"Stictocephala bisonia",0,NA
702,"Isodontia mexicana",NA,"no applicable method for 'filter' applied to an object of class ""list"""
703,"Boisea trivittata",0,NA
704,"Polypedilum scalaenum",0,NA
705,"Sitochroa palealis",1,NA
706,"Argyrotaenia velutinana",0,NA
707,"Rubus idaeus",0,NA
708,"Isophrictis striatella",NA,"In argument: `subnationCode == ""QC""`."
709,"Eudryas grata",0,NA
710,"Empidonax flaviventris",0,NA
711,"Podilymbus podiceps",0,NA
712,"Habronattus decorus",0,NA
713,"Incisalia irioides",NA,"Results is empty"
714,"Pieris virginiensis",0,NA
715,"Polites coras",0,NA
716,"Carterocephalus palaemon",NA,"No matching species"
717,"Lycaena phlaeas",NA,"No matching species"
718,"Hesperia leonardus",0,NA
719,"Plebejus saepiolus",NA,"No matching species"
720,"Polites egeremet",0,NA
721,"Phyciodes batesii",0,NA
722,"Bidens vulgata",0,NA
723,"Eristalis transversa",0,NA
724,"Strix varia",0,NA
725,"Estigmene acrea",0,NA
726,"Euphoria inda",0,NA
727,"Corythucha cydoniae",0,NA
728,"Sphex pensylvanicus",0,NA
729,"Procecidocharoides penelope",0,NA
730,"Tringa solitaria",0,NA
731,"Myosotis scorpioides",1,NA
732,"Enallagma hageni",0,NA
733,"Brunnera macrophylla",1,NA
734,"Euphorbia maculata",1,NA
735,"Solanum emulans",NA,"No matching species"
736,"Melilotus officinalis",1,NA
737,"Setophaga tigrina",0,NA
738,"Osmoderma eremicola",0,NA
739,"Leiothlypis peregrina",0,NA
740,"Felis catus",1,NA
741,"Trifolium hybridum",1,NA
742,"Lophodytes cucullatus",0,NA
743,"Quercus bebbiana",NA,"No matching species"
744,"Acer platanoides",1,NA
745,"Carpinus caroliniana",0,NA
746,"Oligia modica",0,NA
747,"Psyllobora vigintimaculata",0,NA
748,"Maladera formosae",NA,"Results is empty"
749,"Setophaga pinus",0,NA
750,"Harrisina americana",0,NA
